timestamp,record_type,task_id,task_name,model_name,cpu_power_mw,gpu_power_mw,ane_power_mw,current_token
2026-06-26T14:02:46.205,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,469.0,758.0,0.0,0
2026-06-26T14:02:46.263,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,446.0,874.0,0.0,0
2026-06-26T14:02:46.323,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,281.0,842.0,0.0,0
2026-06-26T14:02:46.383,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,225.0,831.0,0.0,0
2026-06-26T14:02:46.442,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,100.0,921.0,0.0,0
2026-06-26T14:02:46.502,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,67.0,807.0,0.0,0
2026-06-26T14:02:46.562,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,438.0,809.0,0.0,0
2026-06-26T14:02:46.623,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,681.0,797.0,0.0,0
2026-06-26T14:02:46.683,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,2644.0,793.0,0.0,0
2026-06-26T14:02:46.744,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,1070.0,906.0,0.0,0
2026-06-26T14:02:46.805,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,133.0,796.0,0.0,0
2026-06-26T14:02:46.865,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,512.0,793.0,0.0,0
2026-06-26T14:02:46.926,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,98.0,900.0,0.0,0
2026-06-26T14:02:46.987,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,665.0,798.0,0.0,0
2026-06-26T14:02:47.047,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,165.0,793.0,0.0,0
2026-06-26T14:02:47.108,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,700.0,781.0,0.0,0
2026-06-26T14:02:47.167,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,910.0,0.0,0
2026-06-26T14:02:47.228,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,800.0,0.0,0
2026-06-26T14:02:47.288,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,800.0,0.0,0
2026-06-26T14:02:47.348,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,132.0,793.0,0.0,0
2026-06-26T14:02:47.408,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,17.0,913.0,0.0,0
2026-06-26T14:02:47.469,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,797.0,0.0,0
2026-06-26T14:02:47.529,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,800.0,0.0,0
2026-06-26T14:02:47.588,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,347.0,794.0,0.0,0
2026-06-26T14:02:47.649,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,51.0,810.0,0.0,0
2026-06-26T14:02:47.709,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,918.0,0.0,0
2026-06-26T14:02:47.769,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,795.0,0.0,0
2026-06-26T14:02:47.829,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,133.0,800.0,0.0,0
2026-06-26T14:02:47.890,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,17.0,792.0,0.0,0
2026-06-26T14:02:47.950,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,67.0,800.0,0.0,0
2026-06-26T14:02:48.009,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,627.0,908.0,0.0,0
2026-06-26T14:02:48.070,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,34.0,812.0,0.0,0
2026-06-26T14:02:48.129,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,149.0,796.0,0.0,0
2026-06-26T14:02:48.189,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,33.0,800.0,0.0,0
2026-06-26T14:02:48.249,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,799.0,0.0,0
2026-06-26T14:02:48.309,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,17.0,914.0,0.0,0
2026-06-26T14:02:48.368,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,135.0,809.0,0.0,0
2026-06-26T14:02:48.428,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,34.0,811.0,0.0,0
2026-06-26T14:02:48.489,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,67.0,801.0,0.0,0
2026-06-26T14:02:48.549,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,66.0,792.0,0.0,0
2026-06-26T14:02:48.610,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,329.0,903.0,0.0,0
2026-06-26T14:02:48.670,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,50.0,798.0,0.0,0
2026-06-26T14:02:48.730,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,33.0,796.0,0.0,0
2026-06-26T14:02:48.790,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,33.0,799.0,0.0,0
2026-06-26T14:02:48.851,timeseries,1,User List,mlx-community/Llama-3.2-1B-Instruct-4bit,33.0,909.0,0.0,0
